Royalkaarten,"Geboortekaartjes, trouwkaarten of communiekaarten zijn belangrijk: ze moeten uniek zijn, onderscheidend en persoonlijk. Bij RoyalKaarten vind je een groot assortiment kaarten die je eenvoudig kunt aanpassen naar je eigen persoonlijke stijl en smaak. Je voegt bijvoorbeeld zelf een foto toe of je geeft de kaart een mooie uitstraling met een strikje of lintje.",Prints en uithangbordenwinkel,http://royalkaarten.nl,Zakelijke diensten,dr.weitjenslaan 29,info@royalkaarten.nl,0611481670,2685VV,Poeldijk,Nederland
My Copy,"Servicegerichte printshop. Uitgebreide ervaring in print- en drukwerk, maar ook (bedrijfs-)kleding, posters, bouwtekeningen, stickers, banners en stempels.",Digitale afdrukservice,https://www.mycopy.nl,Zakelijke diensten,Horselstraat 6,info@mycopy.nl,045-5778772,6361 HC,Nuth,Nederland
Copyshop / Drukkerij Printhuus,"Printhuus is al jaren lang gespecialiseerd in het bedrukken van textiel en papier. U kunt bij ons terecht voor onder meer het bedrukken of borduren van promotiekleding, sportkleding, werkkleding en eigenkleding. Daarbij drukken, kopiëren en printen wij op allerlei papiersoorten. Wij begeleiden, adviseren en helpen u graag in het maken van de juiste keus. Wij staan voor no-nonsense en geen bijkomstige kosten. Wij leveren kwaliteit voor een enorm scherpe prijs en gaan voor een persoonlijke benadering en denken graag met u mee. Wij streven naar een zo fijne en goed mogelijke ervaring voor klanten. We zijn dan ook erg blij met de vele positieve reacties die wij hierover terugkrijgen. Klantvriendelijkheid en service staan bij ons erg hoog!",Digitale afdrukservice,http://printhuus.nl,Zakelijke diensten,Wannestraat 6,info@printhuus.nl,0651822732,7722 RV,Dalfsen,Nederland
Crazylabels B.V.,"Of je nou een beginnende ondernemer bent, een huisartsenpost beheert of webshop hebt, Crazylabels staat voor je klaar. Wij kennen ons product en staan achter ons product. Daarom durven we jou een 100% tevredenheidsgarantie af te geven.

Een goede kwaliteit en de beste service wil nog niet zeggen dat je de hoofdprijs moet betalen. Bij ons bestel je compatible verzendlabels tegen een scherpe prijs. Zeg eerlijk, je wilt toch geen dief van je eigen portemonnee zijn?",E-commerceservice,http://www.crazylabels.nl,Zakelijke diensten,Oonderschoer,info@crazylabels.nl,+31 (0) 85 060 0204,7475 GN,Markelo,Nederland
JIP (jipsnel.nl),"JIP is dé groothandel voor uw bedrijf. U kunt bij ons terecht voor al uw verpakkingen, kantoorartikelen, bedrijfskleding, schoonmaakartikelen die u nodig heeft om uw werk succesvol te maken.",Groothandelaar,https://jipsnel.nl,Zakelijke diensten,Jonkersloot 1,verkoop@jipsnel.nl,0513481818,8502 TW,Joure,Nederland
Blok Packaging,"Uw verpakking specialist sinds 1950. Op werkdagen voor 17:00 uur besteld, dezelfde dag verzonden! Gratis retourneren binnen 30 dagen.",Vervoer- en verpakkingsbenodigdheden winkel,https://blokpackaging.com,Zakelijke diensten,De Corantijn 77,info@blokpackaging.com,+31 (0) 229 214878,1689 AN,Zwaag,Nederland
Boloo,De product research tool voor bol.com,E-commerceplatform,https://boloo.co,Zakelijke diensten,Mariendijk 28,info@boloo.co,0850020029,2675 SV,Honselersdijk,Nederland
name,description,categories,Website,category,address,email,phone,zipcode,city,country
SeriousWatches,"We love watches! Based in the Netherlands. Serving the world.

Authorised dealer of: BOLDR, Edox, Junghans, Nethuns, NTH, OceanX, Orient, Raymond Weil, Spinnaker, Zelos and more.",Beauty en welzijn,https://www.seriouswatches.com,Beauty en welzijn,,info@SeriousWatches.eu,+31(0)512-843797,,,Nederland
Curlsshop,"Curls shop verkoopt natural haar producten voor krullend,kroes, stijl en golvend haar voor een hele scherpe prijs. Ook verkopen wij make up en haar accessoires. Wij verkopen veel merken en bieden een uitgebreid assortiment.",Haarproductenwinkel,https://curlsshop.nl,Beauty en welzijn,,,,,,Nederland
Vitaminen op Recept,Vitaminen op Recept levert al jaren aan duizenden klanten hoogwaardige vitaminepreparaten. Wij leveren een optimaal product tegen een betaalbare prijs met een hoog serviceniveau. Wij leveren onze producten snel en gemakkelijk bij u thuis. ,Vitamine- en supplementenwinkel,http://vitaminenoprecept.nl,Beauty en welzijn,Houtplein 7,klantenservice@vitaminenoprecept.nl,0800-9887765,2012 DD,Haarlem,Nederland
ArganWinkel.nl - Premium Arganolie,"ArganWinkel.nl levert <a href=""https://arganwinkel.nl""/>100% pure Culinaire en Cosmetische Arganolie</a> welke biologisch geproduceert en voorzien zijn van het bekende EcoCert keurmerk voor biologische cosmetica.",Cosmeticawinkel,https://arganwinkel.nl,Beauty en welzijn,Witteweg 45,info@arganwinkel.nl,020 261 0004,1431GZ,Aalsmeer,Nederland
My Hair Shop,"Myhairshop.nl offers a huge selection of the best hair products for every type of curl, coil, wave or straight hair to keep your hair looking and feeling great every day — from sulfate-free shampoos and deep conditioners, to detanglers and no-frizz finishing products.",Haarproductenwinkel,http://myhairshop.nl,Beauty en welzijn,Hongkongstraat 20,klantenservice@myhairshop.nl,0031103130718,3047BS,Rotterdam,Nederland
Parfumerie.nl,"Parfumerie.nl hecht veel waarde aan de mening van onze klanten, daarom vindt u hier een eerlijke en ongecensureerde feedback.
<br /><br />
Waarom Parfumerie.nl?<br /><br />
✅ Fysieke filialen<br /><br />
✅ 20 dagen bedenktermijn<br /><br />
✅ Altijd gratis proefje(s) & snelle verzending<br /><br />
✅ Gratis verzending vanaf een laag aankoopbedrag<br /><br />
✅ Achteraf betalen mogelijk",Parfumerie,https://www.parfumerie.nl,Beauty en welzijn,Zeedijk 68,klantenservice@parfumerie.nl,085 - 130 5692 ,1012BA ,Amsterdam,Nederland
Vitaminesperpost,"Vitaminesperpost heeft een breed assortiment aan hoogwaardige vitamines,kruiden,superfruit en aminozuren. 

* Gratis + Snelle verzending 
  Hoogwaardige kwaliteit 
* Gezonde prijzen
* Uw Bestelling past door de brievenbus!
",Huidverzorgingskliniek,http://www.vitaminesperpost.nl,Beauty en welzijn,,,,,,
Auspiteurope,,Beauty en welzijn,http://auspiteurope.com,Beauty en welzijn,Saffierhorst 81,info@auspiteurope.com,0031 (0)70-2171730,2592 GK  ,Den Haag,Nederland
Way of Health,"Pick & mix de lekkerste protein bars, protein cookies & more!",Fitness- en voedingsservice,http://wayofhealth.nl,Beauty en welzijn,,contact@wayofhealth.nl,,,,Nederland
MIISHA Eco Webshop,"Eco webshop met mooie en betaalbare items voor een duurzame leefstijl. Al onze kleding, accessoires, woonaccessoires, keuken benodigdheden en persoonlijke verzorging zijn natuurlijk, herbruikbaar en/of duurzaam.",Gezondheids- en schoonheidsartikelen winkel,http://www.miisha.nl,Beauty en welzijn,,info@miisha.nl,,1018XE,Amsterdam,Nederland
Exclusively,"Op  Exclusively.nl vindt u een groot aanbod exclusieve verzorgingsproducten. Bekijk de bekende merken als Lady Speed Stick, Secret, St. Ives en Neutrogena.",Beauty en welzijn,https://www.exclusively.nl,Beauty en welzijn,Dennenhof 6,contact@exclusively.nl, 024 845 3932,6581 NJ,Malden,Nederland
Haru Haru Beauty (for your daily K-beauty fix),"Get the best Korean skincare and cosmetics directly in the Netherlands, Belgium and Germany. Shop online and offline in Rotterdam and Amsterdam, the Netherlands...",Cosmetica winkel,http://www.haruharubeauty.com,Beauty en welzijn,Oude Binnenweg 105,info@haruharubeauty.com,0107370315,3012JB,Rotterdam,Nederland
Maximeslifestyle,"Ons doel is om zoveel mogelijk mensen te helpen door kwalitatieve voedingssupplementen aan te bieden voor een eerlijke prijs. De voedingssupplementen die wij verkopen zijn zo samengesteld dat ze in elke levensstijl passen: geen toevoegde suikers, kleurstoffen of andere vulmiddelen. Oftewel: voedingssupplementen voor iedere levensstijl om maximale resultaten te behalen.",Fitness- en voedingsservice,http://maximeslifestyle.com,Beauty en welzijn,,info@maximeslifestyle.com,,,,Nederland
Drogisterij Van der Pigge,U zoekt het beste advies op voeding(supplementen) en lifestyle gebied? Dan bent u bij ons aan het juiste adres. Onze specialisten adviseren u graag.,Vitamine- en supplementenwinkel,http://vanderpigge.nl,Beauty en welzijn,Gierstraat 3,info@vanderpigge.nl,023-5312454,2011 GA,Haarlem,Nederland
Pig&Hen,,Beauty en welzijn,http://pigandhen.nl,Beauty en welzijn,,,,,,Verenigde Staten
Deonlinedrogist,"DeOnlineDrogist.nl - Groot assortiment - Nu geen bezorgkosten boven de €20,- Besteld vóór 21.30: morgen in huis",Apotheek,http://www.deonlinedrogist.nl,Beauty en welzijn,Donauweg 8,klantenservice@deonlinedrogist.nl,0207173893,1043AJ,Amsterdam,
Meesterslijpers,"Ben je op zoek naar een kook- en kadowinkel in Amsterdam en online? Dan ben je bij ons aan het juiste adres en profiteer je altijd van de beste aanbiedingen en leukste producten op kookgebied. Want zoals onze naam vast doet vermoeden, zijn we niet alleen een professionele slijperij, maar ook een uitgebreide kookwinkel. 

Tevens kun je bij ons terecht voor het uniek maken van producten. Zo hebben wen onder andere een lasergraveermachine waarmee we in hout, glas, leer, kunststof en meer kunnen graveren. Dit allemaal klaar terwijl je wacht!",Kookwinkel,https://www.meesterslijpers.nl,Beauty en welzijn,Kinkerstraat 267-271,info@meesterslijpers.nl,020-6122824,1053ES,Amsterdam,Nederland
Pit&Pit,"Onze droom is dat jij kan genieten van krachtige en smaakvolle voeding.
Gezond genieten is ons motto! Wij willen dat je steeds alle producten vindt die jij nodig hebt. Unieke kruiden, heerlijke smaken, boordevol werkzame stoffen... Voor elk wat wils! Ons doel is dat iedereen kan genieten van het leven, zowel door heerlijk smakende voeding en kruiden als door gezonde producten.",Fitness- en voedingsservice,http://www.pit-pit.com,Beauty en welzijn,,help@pit-pit.com,,,Hoogstraten,België
YaoSkin,"Feel good about yourself and your skin with safe, effective and nutritious skincare. Feel free to ask us for any advice.",Cosmetica winkel,http://yaoskin.com,Beauty en welzijn,,info@yaoskin.com,,,Rotterdam,Nederland
