name,description,categories,Website,category,address,email,phone,zipcode,city,country
Kiki Mae,"Bij Kiki Mae boek je selfcare behandelingen voor in je kraamweek. Na de bevalling verschuift alle aandacht naar de baby. Maar wie zorgt er voor de mama?Div. oosterse behandelingen zoals een kraammassage met verwarmde kruidenstempels, Bengkung buikbinding, yonisteam en moxa behandeling",Massagetherapeut,http://kiki-mae.nl,beauty_wellbeing,,info@kiki-mae.nl,,,,Nederland
Barberklingen,De Deense startup met meer dan 60.000 leden is nu beschikbaar in Nederland,Kappersbenodigdheden winkel,http://barberklingen.nl,beauty_wellbeing,Van Nelleweg 1,hallo@barberklingen.nl,,3044BC,Rotterdam,Nederland
ZwembadDealer.nl,ZwembadDealer.nl - De beste deals voor jouw zwembad!,Wellness-tuin,http://zwembaddealer.nl,beauty_wellbeing,Veerpolderstraat 25,klantenservice@zwembaddealer.nl,,6833BN,Arnhem,Nederland
Cerebra Nootropics,,Vitamine- en supplementenwinkel,http://cerebra-nootropics.com,beauty_wellbeing,,info@cerebra-nootropics.com,,,,Nederland
Jasper van Mill,Al 25 jaar specialist in het beveiligen van boten en jachthavens,Beauty en welzijn,http://watersportbeveiliging.com,beauty_wellbeing,Concordiaweg,info@multimill.nl,0653120464,4206BA,Gorinchem,Nederland
123geurtjes,"In onze online shop profiteert u van lage prijzen ten opzichte van de adviesprijzen maar ook van snelle levering, indien op voorraad heeft u het bestelde product meestal de volgende dag in huis.",Parfumerie,https://123geurtjes.nl,beauty_wellbeing,,,,,,Nederland
DIVAIN NETHERLAND,Gelijkwaardige parfums. DIVAIN is een bedrijf van gelijkwaardige parfums met meer dan 570 verschillende parfums geïnspireerd op de meest prestigieuze parfums van de markt. Vergelijkbare parfums met meer intensiteit en duur zijn bij DIVAIN...,Parfumerie,http://divainparfums.nl,beauty_wellbeing,Ctra. Astorga-Pi 34,hallo@divainparfums.nl,+31 20 241 4079,24710,San Justo de la Vega,Spanje
Veganfitfactors,Fit people. Fit planet.,Fitness- en voedingsservice,http://veganfitfactors.nl,beauty_wellbeing,Thurledeweg 125-8601,admin@veganfitfactors.nl,,3044ER,Rotterdam,Nederland
S2hbeauty,"S2H Anti-Wrinkle Facelift Patches helpen tegen rimpels, fijne lijnen en acne littekens. Ze helpen uw huid te genezen en te herstellen en om uw teint een natuurlijke en gezonde glans te geven.",Gezondheids- en schoonheidsartikelen winkel,http://s2hbeauty.nl,beauty_wellbeing,,info@s2hbeauty.nl,,,,Nederland
Wellvita,Wellvita - Gezondheid voor jou,Vitamine- en supplementenwinkel,http://wellvita.nl,beauty_wellbeing,Hullenbergweg 278-308,,020 2623 600,1101 BV,Amsterdam,
DeMassageShop.nl,"DeMassageShop.nl is een internetleverancier van massagetafels, massagekrukken en massage accessoires. De motto van DeMassageShop.nl is: ""alles voor uw salon onder één dak"".",Massagebenodigdheden winkel,http://demassageshop.nl,beauty_wellbeing,Tijnjedyk 144,info@demassageshop.nl,085-0470543,8936 AE,Leeuwarden,Nederland
Vendere Jewellery,Betaalbare stainless steel sieraden en leuke accessoires. ,Sieradenwinkel,http://vendere-jewellery.com,beauty_wellbeing,Marinapark 298,info@vendere-jewellery.com,0653792946,1785DK,Den Helder,Nederland
Farmaline,"Farmaline is een online drogisterij die meer dan 40.000 producten van meer dan 1000 merken verkoopt. Wij bieden u het grootste aanbod kwalitatieve verzorgings- en gezondheidsproducten in combinatie met een uitmuntende service en advies op maat.

- Bestel voor 19u, morgen geleverd
- Gratis levering vanaf €40
- 30 dagen bedenktijd
- Gratis retour via kiala
- Telefonisch bestellen mogelijk
- Gratis professioneel advies op maat
- Veilige betaling
- Achteraf betalen via Klarna
- Discrete verpakking",Apotheek,https://www.farmaline.nl/,beauty_wellbeing,Dirk Hartogweg 14,info@farmaline.nl,085 888 90 50,5928LV,Venlo,Nederland
Glorious Gifts,"Glorious Gifts is een is een jong enthousiast bedrijf waar de klant centraal staan. Ons ruime assortiment is zorgvuldig samengesteld, waarbij wij vooral letten op kwaliteit en een scherpe prijs. Wij bieden u enkel zorgvuldig geselecteerde, trendy, hoogwaardige en innovatieve producten aan.

Naast onze webwinkel hebben wij al enkele jaren ervaring in e-commerce via marketplace.

Glorious Gifts is voortdurend in beweging met een continu veranderend artikelen bestand van cadeaus en gadgets. We speuren de hele wereld af op zoek naar naar opvallende producten. Cadeaus waar men mee aan kan komen! Gewoon gemakkelijk online te bestellen en snel afgeleverd (volgende werkdag mits voorradig).

Persoonlijk contact vinden wij daarnaast erg belangrijk en wij staan indien nodig, dan ook graag voor u klaar. U kunt ons altijd via de e-mail bereiken., en wanneer nodig mailen of bellen wij u uiteraard terug.

Wij wensen u veel webwinkel plezier toe bij Glorious Gifts!",Warenhuis,http://www.gloriousgifts.shop,beauty_wellbeing,,sales@gloriousgifts.shop,,,,Nederland
Colibri Skincare,"Bij Colibri Skincare dragen wij de zorg voor uw verzorging. Wij staan vooral bekend om onze 100% pure en biologische Arganolie die ook wel bekend staat als het Marokkaanse Goud. Deze status heeft Arganolie voornamelijk te danken aan het tijdrovende productieproces en het resultaat. Onze oliën worden gewonnen uit de vruchten van de Marokkaanse Arganbomen genaamd Argania Spinosa, die alléén groeien in het zuiden van Marokko. De koude pers maakt dat Colibri Skincare Arganolie een 100% cosmetisch product is en dus geschikt is voor uw haar en huid.",Cosmetica winkel,http://colibriskincare.nl,beauty_wellbeing,,info@colibriskincare.nl,,,,Nederland
Cecesweat,Exercise specialist/online coach and sports masseuse ,Personal trainer,http://cecesweat.nl,beauty_wellbeing,Weerdsingel,Info@cecesweat.nl,644776570,3513ba,Utrecht,Nederland
Nutriversum Sport & Nutrition B.V.,"Nutriversum heeft een verzameling van voeding- en dieetsupplementen, die ontwikkeld zijn om het lichaam fit te maken en gezond te onderhouden, ongeacht geslacht en leeftijd. Het maakt niet uit hoe extreem uw doel is, wij hebben het geschikte product.",Vitamine- en supplementenwinkel,http://nutriversum.nl,beauty_wellbeing,Laan van Kronenburg 14,info@nutriversum.nl,+31 85 06 09 940,1183 AS,Amstelveen,Nederland
Vitora fitness,Bij Vitora staat klantbelang voorop. Wij willen de sporters voeren met correcte informatie en helpen met trainingen en voeding. Zo hopen wij de fitnessindustrie te kunnen verrijken.,Fitness- en voedingsservice,http://vitorafitness.nl,beauty_wellbeing,,contact@vitorafitness.nl,038 – 23 40 389,,,Nederland
Maakjeeigensfeer.nl,"Online snuffelen en shoppen in een breed en scherp geprijsd assortiment Gusta servies. 
Snel geleverd | persoonlijke klantenservice | B2B-service | Regelmatig leuke promoties!
Wij zijn Maakjeeigensfeer.nl gestart met het idee dat je sfeer het beste zelf kan creëren. Alle adviseurs, programma's etc. ten spijt....jij bepaalt jouw eigen sfeer! Wij zien het als onze missie jou te voorzien van leuke producten die bijdragen aan een persoonlijke en unieke sfeer.",Beauty en welzijn,https://maakjeeigensfeer.nl,beauty_wellbeing,Zwerfsteen 7,info@maakjeeigensfeer.nl,0486-755274,5411 BR,Zeeland,Nederland
Supraleaf,Supraleaf is the worldwide producer of the best quality CBD products on the market. Our organic CBD products from Croatia contain pure full spectrum CBD.,Wellnesscentrum,https://supraleaf.com,beauty_wellbeing,Bargelaan 200,info@supraleaf.com,0850043574,2333CW,Leiden,Nederland
ZARQA,"Zarqa biedt zachte en zuivere huidverzorging voor de gewone en gevoelige huid. Bestel snel in onze webshop. Verzending boven € 25,- gratis.  ",Beauty en welzijn,http://www.zarqa.nl,beauty_wellbeing,,,,,,Nederland
Hair By ShaSha,"Hair By ShaSha is de specialist voor het zetten van hairextensions in de omgeving van Leiden, Den Haag, Amsterdam en Rotterdam. Wij verkopen ook hairextensions, pruiken, haarmatten, verzorgingsproducten en accessoires voor hairextensions. ",Haarextensionspecialist,https://hairbyshasha.nl/,beauty_wellbeing,Leidsedreef 22,Info@hairbyshasha.nl,0687176117,2352 BA,Leiderdorp ,Nederland
BMS Vital,,Vitamine- en supplementenwinkel,http://vita-store.eu,beauty_wellbeing,Koninginneweg 48,info@vita-store.eu,0031621928433,1312 BA,Almere,Nederland
Haircare Warehouse,Bij Haircare Warehouse vind je alle haar- & beautyproducten van professionele A-merken voor de beste prijzen.,Haarproductenwinkel,http://haircarewarehouse.eu,beauty_wellbeing,Keienbergweg 36,klantenservice@haircarewarehouse.eu,085 400 0502,1101GC,Amsterdam,Nederland
Bodylab,Bodylab.nl is specialist op het gebied van sportvoeding in de Benelux. We werken enkel met professionals en deze webshop is ontstaan uit de jarenlange ervaring die we hebben opgedaan op het gebied van sportvoeding voor fitness en krachtsport.,Fitness- en voedingsservice,http://www.bodylab.nl,beauty_wellbeing,Taanderstraat 13,info@bodylab.nl,NL: +31 (0)71-4081726 BE:+32(0)38-081128,2222 BG,Katwijk,Nederland
Atidapure,"Persoonlijke supplementen die bij je passen
Een flexibel abonnement vol met vitamines, mineralen, kruiden en probiotica. Voor jou gemaakt en altijd ondersteund door wetenschap.",Gezondheids- en schoonheidsartikelen winkel,http://atidapure.com/nl-nl,beauty_wellbeing,"Fred. Roeskestraat, 115",contact@atidapure.com,0970 102 539 54,1076 EE,Amsterdam,Nederland
Beautyscape,"Persoonlijke cosmetica collecties, inclusief tips & tricks!",Cosmeticawinkel,http://beautyscape.nl,beauty_wellbeing,Malvert 2402,info@beautyscape.nl,+31(0)6 554 097 26,6538 AP,Nijmegen,Nederland
De Hairshop,"De Hairshop levert al 30 jaar met plezier ondersteuning aan de professionele kapper met een uitgebreid assortiment aan exclusieve, betaalbare producten.",Haarproductenwinkel,http://dehairshop.nl,beauty_wellbeing,Asserdreef 32,info@dehairshop.nl,+31 6 549107590,3146AD,Maassluis,Nederland
Echteco,"Natuurlijke verzorging, veilig speelgoed en een schone toekomst. Dat is Echt Eco voor (aanstaande) moeders, baby & kind. Wij helpen jou bewuste keuzes te maken tijdens je zwangerschap en bij je duurzame opvoeding met onze eerlijke en betaalbare producten, gemaakt met liefde voor de natuur 🤍",Biologische winkel,http://echteco.nl,beauty_wellbeing,,info@echteco.nl,06-12757206,,Groningen,Nederland
Kiomebeauty,Kiome betekent “schattig” in het Koreaans. Het woord schattig wordt vaak geassocieerd met baby’s of wel een zachte en perfecte babyhuid. Kiome Beauty wilt de passie voor beauty delen met mannen en vrouwen in Nederland en ze kennis te laten maken met de beauty geheimen uit Azië. Onze missie is om de populaire Aziatische schoonheidsrituelen te laten samenkomen met het westen.,Gezondheids- en schoonheidsartikelen winkel,https://www.kiomebeauty.com/,beauty_wellbeing,Postbus 1535,info@kiomebeauty.com,,3000 BM,ROTTERDAM,Nederland
The Farm in my Flat,"Apartment Farmers, Urban Farmers, Urban Gardeners, and Sustainable Lifestyle Enthusiasts find their Urban Farming goods with us. Shop from our sustainable collection of products to grow food on a Balcony, Rooftop, or in a Garden; Microgreens, Sprouts, Veggies, Edible Flowers, and more. European based -affordable shipping EU. (Microgreens-Nederland is an initiative of The Farm in my Flat.)",Internetwinkel,http://shop.thefarminmyflat.com,beauty_wellbeing,Nieuwe Markt 21a,thefarminmyflat@outlook.com,+31620853413,7411 PB,Deventer,Nederland
SoWiRo.com,"Wij leveren Etherische oliën.

Etherische oliën worden vooral voor hun geur en voor hun energetische werking gebruikt. Dit gebruik stamt al van duizenden jaren geleden in China, India, Perzië en natuurlijk Egypte, waar het gebruikt werd in de geneeskunst en in de kookkunst. Etherische oliën kennen door hun energetische werking veel toepassingen op het gebied van lichaam en geest. Zelfgenezing,harmonisering, versterking van het afweersysteem, herstel van evenwicht zijn voorbeelden.
Etherische oliën vertegenwoordigen de ziel van de natuur waardoor zij op een harmonieuze wijze diep in ons kunnen doordringen. Hun zuiverheid en authenticiteit vindt zijn weerklank in een herkenning die in onze essentie wakker wordt gemaakt.

Wat is etherische olie?

Etherische oliën, ook wel Essentiële oliën genoemd, worden op natuurlijk wijze gewonnen uit bloemen, vruchten, zaden, hout, blaadjes en wortels van bloemen, planten en bomen. Dit kan door middel van enfleurage, destillatie of persing. Vaak zijn er honderden kilos bloemen nodig om 1 kg Etherische olie te produceren, waardoor de waarde van een olie hoog kan oplopen.De SoWiRo’s Geuren Etherische oliën zijn van hoge energetische kwaliteit, hetgeen je kunt ruiken en voelen.

Gebruik

De SoWiRo’s Geuren Etherische oliën kun je als aromatherapie gebruiken in bad, sauna, luchbevochtigers, verdampers, aromalampjes en op geursteentjes. Een paar druppels is voldoende. Sommige olien zijn ook te gebruiken zalving, inhallatie, en inname (Inname alleen op dokters advies).

Wij letten op het milieu 

SoWiRo.com denkt mee, zo hergebruiken wij verpakkingsmatriaal. Niet alleen wat wij zelf binnen krijgen maar ook dat van de bedrijven uit de buurt die zelf niks verzenden ontvangen wij het verpakkingsmatriaal. 

Al onze zepen in vaste vorm en vloebare vorm zijn beter dan alcohol tegen het virus CORONA.  Lees dit artikel vermeld bij wetenschap in beeld. Al onze zepen en shampoos zijn 100% puur natuur en werken dus uitstekend tegen Corona!

",Wellnesscentrum,http://www.sowiro.com,beauty_wellbeing,Staalweg 18c,info@sowiro.com,0345 505 242,4104AT,Culemborg,Nederland
Say Yes by KHLOÉ,Exclusive Pleasure Webshop,Cosmeticabranche,http://sayyesbykhloe.nl,beauty_wellbeing,,sales@sayyesbykhloe.nl,,,,Nederland
haarshopper.nl,"Haarshopper.nl is onderdeel van Yousfi IT & Trading. Door middel van de webshop Haarshopper bedient de onderneming Yousfi IT & Trading de consumentenmarkt met een breed assortiment betaalbare haarproducten, ontharingsproducten en barberproducten.",Beauty en welzijn,http://haarshopper.nl,beauty_wellbeing,Helftheuvelweg 11,info@haarshopper.nl,+31851300652,5222 AV,Den Bosch,Nederland
Artisterial,",",Beauty en welzijn,http://.artisterial.com,beauty_wellbeing,Kanaalstraat 295,info@artisterial.com,,7547 AS,Enschede,Nederland
Walletking,,Beauty en welzijn,https://www.walletking.nl,beauty_wellbeing,The brokerage,order@walletking.eu,+356 21239890,VCT2550,Victoria,Malta
WeightWorld.nl,"Sinds 2004 heeft WeightWorld, met haar uitgebreide assortiment van GMP voedingssupplementen, al duizenden mannen en vrouwen geholpen zijn of haar doelstelling voor gewichtsverlies te behalen. Als jij je goed wil voelen en dat wil uitstralen, kan deze retailer jou helpen bij het vinden van de juiste oplossing.",Fitness- en voedingsservice,http://weightworld.nl,beauty_wellbeing,Konnetlaantje 4,info@weightworld.nl,(+31)858 889 802,1435 HW,Rijsenhout,Nederland
Haarspullen.nl,"We know, er is online veel keuze... Maar wij doen het net even anders! Bij Haarspullen.nl shop jij al jouw vertrouwde beauty producten voor haar. Daarnaast hebben we ook een ruim aanbod voor mannen, want laten we eerlijk zijn - ook zij willen er op hun best uitzien. Wij verkopen professionele haarverzorgings en beautyproducten, voor de consument maar we staan ook 24/7 klaar voor de èchte kappers. Ons ruime assortiment bestaat uit: haarverzorging, make-up, skincare, tools en eigenlijk alles om jezelf nóg mooier mee te maken, voor de best mogelijke prijs.
 
Haarspullen.nl maakt jou nog mooier! Naast het ruime aanbod voor Haar & Hem, hebben we ook steeds meer beauty producten voor de kleintjes: Baby & Kids. Omdat wij ons steentje willen bijdragen aan een betere wereld voor deze baby &amp; kids, hebben wij onze zero-waste lijn gecreëerd. Zo krijgen producten die beschadigd zijn nog een tweede kans, en krijg jij de kans om je portemonnee te sparen. Naast de best mogelijke prijs, bieden wij je ook het best mogelijk advies met onze inhouse professionals - always happy to help!
 
Bij Haarspullen.nl shop je echt met no-nonsense. Scherpe prijzen, uitgebreide productbeschrijvingen en een klantenservice die je helpt het juiste product te vinden - want een perfect product, blijkt niet altijd voor iedereen perfect. Wij geven je advies met verstand van zaken en geven je alle informatie die je nodig hebt, so what you see is what you get. Gewoon real!",Haarproductenwinkel,https://www.haarspullen.nl,beauty_wellbeing,Ossenkamp 2N,info@haarspullen.nl,038-4582584,8024AE,Zwolle,Nederland
Miracles by Stella,"Verzorg jezelf met liefde, verzorg jezelf met Miracles by Stella",Cosmetisch productleverancier,https://miraclesbystella.com,beauty_wellbeing,Sandwijk 36,info@miraclesbystella.com,06-41369238,1035 LC,Amsterdam,Nederland
TonkaShop,Tonka producten gemaakt van Surinaamse tonkabonen & 100% natuurlijk,Huidverzorgingskliniek,http://tonkashop.nl,beauty_wellbeing,Burgermeester Voetelinkstraat 151,admin@tonkashop.nl,0644292451,8331BV,Steenwijk,Nederland
Julia Naturel Skincare,,Cosmeticawinkel,http://julianaturelskincare.com,beauty_wellbeing,,,,,,Nederland
Boev Cosmetics,"Ervaar het verschil met de nieuwe generatie vegan haarverdikker.
Je gebruikt Boev haarvezels voor: 
Het voller maken van dunner wordend haar of kalende plekken als gevolg van o.a. erfelijkheid, zwangerschap, medische oorzaak én voor het camoufleren van uitgroei.

Boev haarvezels heeft, naast alle gebruikelijke kleuren de unieke kleur Peper & Zout die perfect past bij meerdere koele haarkleuren van midden blond tot lichtbruin.

Onze haarvezels zijn 100% natuurlijk en niet op dieren getest.",Cosmetisch productleverancier,https://boevcosmetics.com,beauty_wellbeing,,,,,,Nederland
Vipper.com,An intermodality tech company focused on extending the catchment area of airliners through interlining and codesharing.,Beauty en welzijn,http://www.vipper.com,beauty_wellbeing,Herengracht 184,info@vipper.com,+312 202 442 925,1016BS,Amsterdam,Nederland
Capilli Extensions,Onze missie is om jou een glimlach op je gezicht te toveren met een breed assortiment aan 100% echte top kwaliteit Indian haar extensions.,Haarextensionsleverancier,http://www.capilli-extensions.com,beauty_wellbeing,,info@capilli-extensions.com,0850607968,,,Nederland
Brandfield,,Sieradenwinkel,http://www.brandfield.nl/,beauty_wellbeing,Stoeldraaierstraat 70,info@brandfield.nl,050 - 2011 559,9712BX,Groningen,Nederland
Clearskin Products,ClearSkin Products is opgericht om elke man en vrouw de tools te bieden om te stralen. Onze innovatieve esthetische apparaten voor thuisgebruik zijn speciaal ontworpen om het leven gemakkelijker en comfortabeler te maken. ClearSkin Products maakt professionele kwaliteit en premium producten toegankelijk voor iedereen. ,Gezondheids- en schoonheidsartikelen winkel,http://clearskin-products.com,beauty_wellbeing,Limapad 102,info@clearskin-products.com,0631693308,3548SR,Utrecht,Nederland
Promo Vendi Nederland,"(Neuro-)marketing, communicatie, conceptontwikkeling, training en advies.",Beauty en welzijn,https://promo-vendi.nl,beauty_wellbeing,,info@promo-vendi.nl,0887775000,,"Eindhoven, Amsterdam",Nederland
Emyrnutrition,"The mission of Emyr Nutrition is to empower people to stay healthy, to be the best version of themselves and to achieve their goals.

Kwaliteit is de prioriteit bij Emyr Nutrition en niks lager dan dat!",Vitamine- en supplementenwinkel,http://emyrnutrition.com,beauty_wellbeing,postbus 3198,info@emyrnutrition.com,0623111463,5930AD,Tegelen,Nederland
Triagos,"Een verlaagd libido is een veelvoorkomend probleem waar een op de vijf van de Nederlanders mee te maken heeft. Gelukkig is er een simpele en effectieve oplossing waar wij bij kunnen helpen.

Triagos verkoopt natuurlijke supplementen die het libido stimuleren. Onze producten bevatten enkel biologische ingrediënten zoals de regenwoudkruiden Tongkat Ali en Ginseng, maar ook pure honing",Vitamine- en supplementenwinkel,http://triagos.nl,beauty_wellbeing,Schuttevaerweg 106 A,triagosbv@gmail.com,0648392452,3044BB,Rotterdam,Nederland
TalentMondo,"Premium livestream classes to feed your body, mind and soul!",Wellnessprogramma,http://talentmondo.com,beauty_wellbeing,Nieuwe Kerkstraat 26,mirac@talentmondo.com,+905367177463,1018EB,Amsterdam,Nederland
Masscosmeticss By aleyna,,Gezondheids- en schoonheidsartikelen winkel,http://masscosmeticss.com,beauty_wellbeing,koningsplein 320,sales@masscosmeticss.com,0615362046,5038 WK,Tilburg,Nederland
Jizzy,"Bij Jizzy.nl zetten wij ons ook in voor de lesbische en biseksuele gemeenschap, omdat wij uit persoonlijke ervaring weten dat daar veel (seksuele) problemen voorkomen. Wij vinden dat deze doelgroep niet genoeg aandacht krijgt in de maatschappij. 
Wij willen ons daarom inzetten voor gezonde relaties, meer LIEFDE💓 en een beter seksleven. Dit willen wij bereiken door advies te geven en producten aan te bieden speciaal voor deze doelgroep, zodat ook deze relaties langdurig standhouden en spannend blijven. 💕Spread the love and keep on playing!
",Sex toy-winkel,http://jizzy.nl,beauty_wellbeing,Thorbeckeplein 8,Info@jizzy.nl,+31297373009,1017CS,Amsterdam,Nederland
Preciousbeautycare,,Gezondheids- en schoonheidsartikelen winkel,http://www.preciousbeautycare.nl,beauty_wellbeing,,,,,,Nederland
Fit and Shape Nederland,"In deze wereldwijde markt, waar alles mogelijk is en niets buiten bereik is, zijn we trots om ons merk te ontwikkelen en de hoogste kwaliteit te bieden op basis van onderzoek en wetenschap.",Vitamine- en supplementenwinkel,http://fitandshape.nl,beauty_wellbeing,Dorpsstraat 80a,info@fitandshape.nl,,6871 AN,Renkum,Nederland
Janneke van Helvoirt,"Continue ondersteuning tijdens de zwangerschap, bevalling en voor de periode erna, zowel emotioneel, fysiek als mentaal.",Zwangerschapsbegeleiding,http://doula-janneke.nl,beauty_wellbeing,debussystraat 157,janneke@doula-janneke.nl,0627506794,2625BG,delft,Nederland
Jackmend,We help handymen become the best version of themselves.,Beauty en welzijn,http://jackmend.com,beauty_wellbeing,Minkmaatstraat 111,info@jackmend.com,+31657934760,7531 AW,Enschede,Nederland
