name,description,categories,Website,category,address,email,phone,zipcode,city,country
Albeka.nl - Tweedehands & Nieuw Kantoormeubilair,"Albeka is dé online specialist in nieuw en gebruikt kantoormeubilair met 3 echte showrooms in Nederland. Alle producten worden boven de €350 gratis door heel Nederland en België geleverd met onze eigen bezorgservice. Als er vagen zijn, staat de klantenservice direct voor je klaar.",Kantoormeubilair winkel,http://www.albeka.nl,Zakelijke diensten,Noordeinde 206,info@albeka.nl,078-6912182,3341 LW,Hendrik Ido Ambacht,Nederland
Argeweb,Met meer dan 200.000 domeinnamen en het beheer van tienduizenden websites is Argeweb één van de grootste hosting providers van Nederland. Daarbij hebben wij sinds het begin in 2000 de klant centraal gezet door gratis deskundige support te geven en een extra stapje te zetten voor de klant. Dat is waarom wij de meest klantvriendelijke hosting provider van Nederland zijn.,SEO-service,https://www.argeweb.nl,Zakelijke diensten,Noordzee 10D,info@argeweb.nl,085-0218861,3144 DB,Maassluis,Nederland
Maatwerk,"Maatwerk is een toonaangevende serviceprovider op het gebied van additionele diensten tijdens het regelen van een hypotheek of het aan- en verkopen van een woning.

We bieden een veilige cloud-based platform waar klanten, taxateurs, financieel adviseurs, geldverstrekkers, banken en tussenpersonen elkaar kunnen vinden via het extranet of mobiele app.

Dit platform zorgt ervoor dat alle partijen snel met elkaar kunnen schakelen tijdens een complex proces, zoals het kopen van een woning of het afsluiten van een hypotheek. Onze centrale helpdesk is het aanspreekpunt en zorgt voor een vlotte communicatie.

Om deze service zijn we door vele grote banken in Nederland verkozen tot hun voorkeurspartij.",Zakelijke diensten,https://maatwerk.nl,Zakelijke diensten,Schweitzerlaan 76,info@maatwerk.nl,020 5452400,1187 JD,Amstelveen,Nederland
Loopbaannederland.nl ,"Loopbaannederland.nl, opgericht in 2009 door Eric van Schaik, is gespecialiseerd in het matchen van vraag en aanbod voor mensgerichte diensten.
Door ons slimme matchingsysteem maken wij voor u de beste match.",Business to Business-service,http://loopbaannederland.nl,Zakelijke diensten,Korsjespoortsteeg 5 ,info@loopbaannederland.nl,085-3034270,1015AP,Amsterdam,Nederland
Design Online Meubels,Professioneel advies bij kantoorinrichting. Topmerken design meubels geleverd door vakmensen. Van design bureaustoel tot design receptiebalie. Wij helpen u bij de keuze van de meubels en de kleuren en installeren turn-key. Installatie afgerond? Verpakking meegenomen en u bent klaar om de nieuwe meubels meteen te gebruiken. ,Meubelgroothandel,https://www.designonlinemeubels.nl/,Zakelijke diensten,Nieuwe Linie 12,info@designonlinemeubels.nl,+31886382357,5264 PJ,Vught,Nederland
Nakheelalya,Voor de meest lekkere dadels en dadelproducten,Importeur,http://nakheelalya.nl,Zakelijke diensten,Uitenhagestraat 10,najat@nakheelalya.nl,0702199748,2571 VV,Den Haag,Nederland
Jouwbox,Gezond genieten met JouwBox.,Zakelijke diensten,http://jouwbox.nl,Zakelijke diensten,Kloosterlaan 43,Tim@jouwbox.nl,0637305501,1861SB,Bergen,Nederland
Tackmasters B.V.,"TACKMASTERS is ook voor u dè leverancier van lijmen, kitten, PUR schuimen, spuitlijmen en contactlijmen. Ook leveren wij diverse soorten boren, zagen, slijpschijven, diamantproducten, schroeven en accessoires. Wij blijven ons assortiment continu uitbreiden om aan uw wensen als klant te kunnen voldoen. Dus bent u op zoek naar een hoogwaardige High Tack lijmkit, EPDM contactlijm of Multi tool zaagblaadjes? Dan bestel je deze gemakkelijk en snel bij TACKMASTERS.NL! Wij garanderen de laagste prijzen van Nederland en België, aangezien wij rechtstreeks importeren vanaf de producent.

De visie van TACKMASTERS  is dat, naast de grote bedrijven, ook  ZZP’ers en particulieren voor de beste prijs en kwaliteit hun producten kunnen inkopen. 

De branches waar wij onder andere aan leveren zijn: bouw- en aannemers, dakdekkers, hoveniers, stoffeerders, parketteurs, tegelzetters, interieurbouwers en sloopbedrijven.   
",Bevestigingsmiddelen leverancier,http://tackmasters.nl,Zakelijke diensten,Veenderveld 56,sales@tackmasters.nl,0318240130,2371 TW,Roelofarendsveen,Nederland
CV.nl,"Maak een professioneel CV in 10 minuten met CV.nl: gegevens invullen, professionele template selecteren & direct downloaden. Start met je CV!",Zakelijke diensten,https://www.cv.nl/,Zakelijke diensten,,support@cv.nl,,,,Nederland
Inpromoshop,"Op onze website vindt u een uitgebreid assortiment reclameartikelen, presentatiemiddelen, drukwerk, textiel en relatiegeschenken tegen de scherpste prijzen. Direct uw prijs berekenen inclusief opdruk, het is allemaal mogelijk.
 
Inpromoshop.nl is onderdeel van Inpromo BV te Haarlem.",Promotieartikelenwinkel,https://inpromoshop.nl,Zakelijke diensten,Gooiland 6,klantenservice@inpromoshop.nl,023 - 210 01 42,1948 RC,Beverwijk,Nederland
Eigenplectrum.nl,"EigenPlectrum.nl is sinds december 2007 een begrip in de gitaarwereld. We willen gitaristen de kans geven om hun eigen plectrums te maken. We zijn hiermee de enige in de Benelux waar dit momenteel mogelijk is. In 2013 zijn we begonnen in landen als: Duitsland, Zwitserland en Oostenrijk.

Het doel van Eigen Plectrum is het maken van een zo’n hoog mogelijke kwaliteit van plectrum. EigenPlectrum.nl is een site die de grootste wil zijn en ook wil blijven. Daarom vinden we de feedback van onze klanten belangrijk.

We gebruiken tevens het fijnste materiaal en onze eigen gemaakte plectrums zijn het beste wat er op dit moment te krijgen is aan eigen werk.

In 2014 hebben we meerdere contacten gelegd over de gehele wereld om meer producten te verkopen. Tevens hebben we eind 2014 veel geïnvesteerd in nieuwe ontwikkelingen en plectrums. Eind 2014 hebben we EigenPlectrum laten registreren als merknaam.

Begin 2015 zijn we gestart met het verkopen van glow in the dark plectrums. Tevens zijn we momenteel in onderhandeling met diverse bekende bands en artiesten zowel nationaal als wereldwijd, om eigen plectrums te gaan verzorgen.

Zo heeft EigenPlectrum in April 2015 plectrums gemaakt voor de wereldband ACDC voor hun wereldtour Rock or Bust en zijn we plectrums gaan leveren aan Kensington. In Oktober 2015 hebben we een nieuwe printer aangeschaft zodat we nog betere plectrums kunnen leveren. Tevens hebben we de bereikbaarheid verbetert door support te gaan leveren via WhatsApp.

Eind 2015 hebben we een aantal nieuwe producten toegevoegd aan ons assortiment. Van Jazz plectrums tot Vintage plectrums. Zo hebben we nu een completer aanbod en voor ieder wat wils.",Digitale afdrukservice,https://www.eigenplectrum.nl,Zakelijke diensten,Bredaseweg 65,info@eigenplectrum.nl,0162 700566,4844CK,Terheijden,Nederland
Sparkling Jewels,Every gemstone has its own sparkle! Mix and Match with gemstones. An unique and interchangeable jewelry concept.,Juwelengroothandel,http://sparkling-jewels.com,Zakelijke diensten,Botterweg 12-L,sparklingjewels@essencecollections.com,,8042PA,Zwolle,Nederland
Brenger,Large goods delivered by the best,Koerier- en bezorgdienst,http://www.brenger.nl,Zakelijke diensten,Stadhouderskade 25,info@brenger.nl,,1071 ZD,Amsterdam,Nederland
HouseHunting,Welkom bij uw makelaar! De makelaars van HouseHunting helpen u vanaf het moment dat de woonruimte vrijkomt voor in de verhuur tot en met de,Vastgoed verhuurbedrijf,http://www.househunting.nl,Zakelijke diensten,Stationsweg 22,franchise@househunting.nl,073-6131322,5211TW,'s-Hertogenbosch,Nederland
Randstad,"Op een gemakkelijke, overzichtelijke manier de banenmarkt afspeuren voor die ideale baan of de leukste vacatures? Kijk dan op Randstad.nl.",Uitzendbureau,https://www.randstad.nl/,Zakelijke diensten,Diemermere 25,,080072637823 ,1112 TC,Diemen,Nederland
Sneltoner,"Sneltoner is op weg om de beste online winkel van Nederland en België te worden voor toner- en inktcartridges. Als klanten van Sneltoner blij zijn, dan zijn wij dat ook. En wij willen samen met u geld besparen. Door zo vriendelijk, slim en efficiënt mogelijk alles te leveren wat nodig is om zorgeloos te printen. Hartelijk dank aan alle klanten van Sneltoner in Nederland en België want dankzij ú zijn we voor het 5e jaar op rij uitgeroepen tot WINNAAR Shopping Award | Thuiswinkel Award Publieksprijs in de categorie computer hard/software xs: in 2014, 2015, 2016, 2017 én 2018!",Tonerleverancier,http://www.sneltoner.nl/toners,Zakelijke diensten,Einsteinstraat 22,klantenservice@sneltoner.nl,0318-210210,3902HN,Veenendaal,Nederland
Optimalprint,"Bij ons kunt u hogekwaliteits-drukwerk online maken en bestellen. Wij bieden een 100%-tevredenheidsgarantie -- als u niet helemaal tevreden bent, doen we een gratis herdruk of uw geld terug. Wij bieden prijstransparantie, eenvoudige en snelle orderafhandeling en vlotte bezorging.

Voor hulp: https://support.optimalprint.com/nl/",Prints en uithangbordenwinkel,https://www.optimalprint.nl,Zakelijke diensten,,,,,,Nederland
Carrière Uitzendbureau,"Carrière helpt jou aan goed werk. Bij ons ben je aan het juiste adres voor de leukste vacatures in de logistiek, productie, transport en techniek. Bij Carrière mag je er zijn, ben je welkom en denken we graag met je mee.",Wervingsbedrijf voor tijdelijk werk,https://carriere.com,Zakelijke diensten,,,,,,Nederland
Reclameland B.V.,"Reclameland B.V. is een Nederlandse online drukkerij. Ons pand, bestaande uit 700 m2 kantoor en 6.000 m2 productiehal, is gevestigd in het Groningse Westerbroek. Vanaf één locatie produceren wij dan ook, in tegenstelling tot andere online drukkers, al het bestelde drukwerk zelf. We werken met de beste offset en digitale drukpersen en onze medewerkers hebben jarenlange ervaring. Drukwerk leveren we dan ook altijd in hoogwaardige kwaliteit. 
<br>
<br>
<h2>Over Reclameland</h2>
Bij de online drukkerij is automatisering het sleutelwoord. De opties en mogelijkheden in het gebruiksvriendelijke bestelproces zijn eindeloos en omdat het productieproces zo efficiënt mogelijk is ingericht, kan het drukwerk snel gedrukt en geleverd worden. Dankzij het continu meegaan in de laatste innovaties mag Reclameland zich de snelste en meest innovatieve drukkerij van Nederland noemen.
<br><br>
In ons traffic centrum wordt uw order verwerkt en controleren we uw bestand(en). Onze dtp-afdeling controleert of uw aangeleverde bestand voldoet aan de aanleverspecificaties. Als onze dtp-ers de bestanden hebben goedgekeurd, zetten zij deze klaar voor de productiemedewerkers. 
<br><br>
Wij produceren ons drukwerk op Komori en Heidelberg offset persen die zowel full colour als PMS drukken. Uw digitale drukwerk drukken wij op onze HP Indigo pers, de beste digitale drukpers ter wereld. Voor ons drukwerk gebruiken wij mild solvent ultra inkt. Dit is de nieuwste inkt op de markt die is doorontwikkeld op het gebied van milieu, kleurechtheid, duurzaamheid en krasvastheid. 
<br><br>
Hebt u uw drukwerk bij ons besteld? U ontvangt bij elke handeling van uw bestelling een e-mail. Hierin leest u alle informatie over de status. Deze informatie vindt u overigens ook in uw account. Daarnaast krijgt u een e-mail of sms als uw bestelling wordt verzonden. DHL haalt dagelijks alle bestellingen op en bezorgt het de volgende dag al bij u. Zo zijn we u altijd snel van dienst.

<br><br>
<h2>Onze producten</h2>
<a title=""Flyers drukken"" href=""https://www.reclameland.nl/drukken/flyers"" target=""_blank"">Flyers drukken</a><br>
<a title=""Folders drukken"" href=""https://www.reclameland.nl/drukken/folders"" target=""_blank"">Folders drukken</a><br>
<a title=""Magazines drukken"" href=""https://www.reclameland.nl/drukken/magazines-brochures"" target=""_blank"">Magazines drukken</a><br>
<a title=""Stickers drukken"" href=""https://www.reclameland.nl/drukken/stickers"" target=""_blank"">Stickers drukken</a><br>
<a title=""Briefpapier drukken"" href=""https://www.reclameland.nl/drukken/briefpapier"" target=""_blank"">Briefpapier drukken</a><br>
<a title=""Visitekaartjes drukken"" href=""https://www.reclameland.nl/drukken/visitekaartjes"" target=""_blank"">Visitekaartjes drukken</a><br>
<a title=""Enveloppen bedrukken"" href=""https://www.reclameland.nl/drukken/enveloppen"" target=""_blank"">Enveloppen bedrukken</a><br>
<a title=""Notitieblokken drukken"" href=""https://www.reclameland.nl/drukken/notitieblokken"" target=""_blank"">Notitieblokken drukken</a><br>
<a title=""Boeken drukken"" href=""https://www.reclameland.nl/drukken/boeken"" target=""_blank"">Boeken drukken</a><br>
<a title=""Offertemappen drukken"" href=""https://www.reclameland.nl/drukken/offertemappen"" target=""_blank"">Offertemappen drukken</a><br>
<a title=""Deurhangers drukken"" href=""https://www.reclameland.nl/drukken/deurhangers"" target=""_blank"">Deurhangers drukken</a><br>
<a title=""Spandoeken bedrukken"" href=""https://www.reclameland.nl/drukken/banners-spandoeken"" target=""_blank"">Spandoeken bedrukken</a><br><br>
Bekijk onze website voor vele andere <a title=""Drukwerk producten"" href=""https://www.reclameland.nl"" target=""_blank"">drukwerk producten</a> of neem <a title=""Contactformulier"" href=""https://www.reclameland.nl/page/contactformulier"" target=""_blank"">contact</a> op met onze drukwerkspecialisten.",Prints en uithangbordenwinkel,https://www.reclameland.nl,Zakelijke diensten,Madepolderweg 7A,info@reclameland.nl,050 8700 130,9608 PX,Westerbroek,Nederland
Viking Nederland,"Sinds 1994 leveren wij onmisbare kantoorbenodigdheden aan grote en kleine bedrijven door heel Nederland. Viking levert alles van bureau-accessoires en papier tot kantoormeubilair en technologieproducten als USB-sticks, printers, beeldschermen en papiervernietigers. Maar ook kunt u bij ons terecht voor facility-, veiligheids- en warehouseproducten.",Kantoorbenodigdheden winkel,http://www.vikingdirect.nl,Zakelijke diensten,Columbusweg 33,contact@vikingdirect.nl,077-3238900,5928 LA,Venlo,Nederland
CCV Group,"CCV offers a range of in store payment solutions, powerful online solutions and self service payment terminals throughout Europe.",Zakelijke diensten,http://ccv.nl,Zakelijke diensten,,service@nl.ccv.eu,088 228 9849,,,Nederland
STRATO Nederland,"<p>Heb je een concreet probleem waarbij je onze hulp nodig hebt?</p> 

<p><b>Neem dan contact met ons op! Dit kan op <a href=""https://www.facebook.com/STRATOhelpt/"" rel=""nofollow"">Facebook</a>, <a href=""https://twitter.com/STRATO_helpt"" rel=""nofollow"">Twitter</a>, via de pagina <a href=""https://www.strato.nl/faq/"" rel=""nofollow"">hulp & contact</a> of telefonisch via 020 - 703 82 32.</b></p> 

<p>Het team van <i>STRATO helpt</i> staat voor je klaar!</p> 

<p>STRATO is de betrouwbare webhoster voor iedereen die online succesvol wil zijn. Bij STRATO is webhosting fair en eenvoudig – zonder gedoe en tegen de beste prijs.<p>

<p>Het productportfolio biedt alles wat je nodig hebt. Domeinnaam, e-mail, website en server, maar ook online marketingtools en de populaire cloud storage HiDrive. Bij STRATO vind je totaalpakketten met flexibele looptijden, een 30 dagen geld-terug-garantie en een bekroonde klantenservice.<p>

<p>STRATO is sinds zijn oprichting in 1997 uitgegroeid tot een van de grootste hostingaanbieders ter wereld en beheert ruim 4 miljoen domeinnamen voor meer dan 2 miljoen klanten. STRATO heeft circa 500 medewerkers en twee ISO-gecertificeerde datacenters in Berlijn en Karlsruhe, met meer dan 70.000 servers. STRATO AG is onderdeel van de United Internet-groep.<p>",Webhostingbedrijf,https://www.strato.nl/,Zakelijke diensten,Strawinskylaan 3051,trustpilot@strato.nl,020-7038232,1077 ZX,Amsterdam,Nederland
De Telegraaf Webshop,"De Telegraaf Webshop is onderdeel van Mediahuis E-commerce / Mediahuis Nederland. De Telegraaf Webshop is gericht op de lezers en gebruikers van De Telegraaf.  

De shop brengt dagelijks nieuwe koopjes die het leven leuker en makkelijker maken. Daarnaast presenteert het team in 2021 een aantal nieuwe shop in shops, gericht op de behoeftes van de klant waarbij inspiratie en advies een grote rol zullen spelen.",Promotieartikelenwinkel,https://webshop.telegraaf.nl,Zakelijke diensten,Basisweg 30 (geen retouradres),info@webshop.telegraaf.nl,088 - 824 85 80,1043 AP,Amsterdam,Nederland
Mijnwebwinkel,"Met Mijnwebwinkel maak je gemakkelijk je eigen webshop. Alle functies die je nodig hebt, altijd gratis. 

Wij geloven dat een webwinkel voor iedereen bereikbaar moet zijn. Sinds onze oprichting in 2005 hebben we dan ook maar één doel: iedereen voorzien van een eigen, succesvolle webwinkel.",E-commerceplatform,http://www.mijnwebwinkel.nl/,Zakelijke diensten,Molenstraat 56,info@mijnwebwinkel.nl,+31 (0)412 66 80 11,5341 GE,Oss,Nederland
AfterPay,"Betalen doe je achteraf, nadat je de bestelling veilig ontvangen hebt. Dan weet je zeker of het product bevalt en betaal je alleen voor wat je wilt houden. Zo beschermen wij jou als consument, dat is wel zo prettig.

 Zodra de bestelling geleverd is, ontvang je een betaaloverzicht per e-mail. Deze kan je direct via de betaalknop of binnen 14 dagen voldoen. Dat is zorgeloos online winkelen zonder verplicht account.",E-commerceplatform,http://www.afterpay.nl,Zakelijke diensten,Hogehilweg 8,klantenservice@afterpay.nl,020 7 230 270,1101CC,Amsterdam,Nederland
Nl Jimdo,"Met Jimdo maak je zelf een professionele website, die er fantastisch uitziet op je computer, tablet en telefoon. Met Jimdo zijn al miljoenen webwinkels, portfolio's, blogs en bedrijfswebsites gemaakt. We hebben Jimdo zo opgezet dat je zonder voorkennis zelf aan de slag kunt. Lijkt dat je wat? Dan kun je meteen gratis beginnen!",Webdesigner,http://jimdo.nl,Zakelijke diensten,,support@jimdo.nl,,,,
DHL,,Koeriersbedrijf,http://www.dhl.nl,Zakelijke diensten,,,,,,Nederland
UPS,,Koeriersbedrijf,http://www.ups.com,Zakelijke diensten,Kokbjerg 10,,80302222,6000,Kolding,Nederland
Verzorgdbesparen,We willen allemaal lagere kosten en meer geld over houden voor leuke dingen. Dat begint door minder te gaan betalen voor onze maandelijkse lasten. En dat is precies wat Verzorgd Besparen doet.,Telemarketingservice,http://verzorgdbesparen.nl,Zakelijke diensten,Hoenderkamp 20,partners@verzorgdbesparen.nl,085 – 048 3164,7820 VZ,Emmen,Nederland
Online Payment Platform (Online Betaalplatform),Online Payment Platform is een betaaldienstverlener die voornamelijk wordt ingezet door platformen en marktplaatsen voor het verwerken van (online) betalingen.,Betalingsdienst,https://onlinepaymentplatform.com,Zakelijke diensten,Kanaalweg 1,,+31 (0)15 889 8888,2628 EB,Delft,Nederland
Max ICT B.V.,"Max ICT is in 2007 gestart als ICT totaalaanbieder voor de zakelijke markt & consument. Met een uitgebreid assortiment van ruim 3.000.000 producten en een professioneel accountmanagementteam dat voor je klaarstaat, biedt Max ICT via diverse webshops, waaronder maxict.nl, maxoffice.nl en maxsupplies.nl maximaal bestelgemak, zodat al je ICT behoeftes snel en efficiënt worden ingevuld. We werken samen met ruim 18000 fabrikanten, waaronder merken als HP, Dell, Lenovo, Intel, Samsung, Siemens, Toshiba en Microsoft. Max ICT is hierdoor in staat om altijd een passende oplossing aan te bieden die aansluit op jouw specifieke situatie met persoonlijke hulp en snelle levering!",Televisiewinkel,https://maxict.nl/,Zakelijke diensten,Castorstraat 17,webcare@maxict.nl,013-5774574,5047 RC,Tilburg,Nederland
Packs,Overnight en Innight aflevering van zendingen voor bedrijven en particulieren in de Benelux. Packs heeft 70 zelfstandige PacksPartners in de Benelux die vanuit hun PacksCenter van maandag t/m zaterdag zorgen voor de aflevering van zendingen.,Post- en pakketbezorging,http://www.packs.nl,Zakelijke diensten,Nijverheidstraat 2,reviews@packs.nl,088-80.40.800,4143HM,Leerdam,Nederland
PAYEER ,"Международные переводы
Прием платежей на сайте
Обмен фиатных валют/криптовалют на бирже
Автоматический обмен
Массовые переводы",Betalingsdienst,http://payeer.com,Zakelijke diensten,,,,,,Rusland
MPF Europe,"Create an abstract artwork of your own pet. Choose from different varieties and colors and upload your own photo! Custom posters for our four-legged friends!
",Zakelijke diensten,http://mypetframe.eu,Zakelijke diensten,Marketing 32A,info@mypetframe.eu,,6921RE,Duiven,Nederland
YoungCapital,"Ben je op zoek naar werk? YoungCapital biedt vacatures voor studenten, starters en young professionals in heel Nederland. Bekijk ons ruime aanbod aan bijbaantjes, parttime banen, fulltime (starters)banen, traineeships, vakantiewerk, maar ook stage vacatures.",Wervings- en selectiebureau,http://www.youngcapital.nl,Zakelijke diensten,Siriusdreef 12,info@youngcapital.nl,020 - 653 1544,2132 WT,Hoofddorp,Nederland
Mollie,"Mollie is a pioneer in the payment industry. With our simple and clear payments-API, Mollie facilitates companies of all sizes to scale and grow by using different payment methods. Mollie currently has 120K customers in Europe and is growing. 

If you have a Mollie account with us, you can contact us via our dedicated merchant portal or consult our Help Center. Please note that, as a payment service provider, we are solely responsible for processing the payments. If you are a consumer and have questions about your payment, please consult our dedicated portal.

",Betalingsdienst,https://www.mollie.com,Zakelijke diensten,Keizersgracht 126,info+trustpilot@mollie.com,+31 20 8 20 20 70,1015 CW,Amsterdam,Nederland
